nombre_desarrollo;desarrollador;nombre de la tipolog¡a;numero de habitaciones;Niveles_departamento;metros_cuadrados;T.C.;precio_en_pesos;precio_en_dolares;pesos_por_metro_cuadrado;numero_de_unidades;Alberca;sun_deck;asadores;suites_de_huespedes;salon_de_juegos;lounge;terraza;gimnasio;lavander¡a;elevadores_de_alta_velocidad;estacionamiento_para_visitas;bodegas;sky_deck;salon_de_usos_multiples;fogateros;caf‚_y_patio;area_de_carga_y_descarga;recepci¢n_con_front_desk;concierge;tecnolog¡a_residencial;control_de_acceso;Raquetbol;Jacuzzi;Sauna;corredor_de_lectura;zona_barr‚;studio_yoga;cancha_de_tenis;area_de_bar_con_tv_para_eventos_deportivos;Room_services_de_cocina_privada;Sistema_de_audio_bose_en_areas_comunes;area_de_juegos_para_ni¤os;guarderia;pet_yard;acondicionado_para_silla_de_ruedas;WI-FI gratis en espacios comunes;alberca_con_tobogan;salon_para_tareas;pista_de_patinaje;chapoteadero_para_bebes;Brincol¡n;Circuito_de_crossfit;terraza_para_ejercicio_al_aire_libre
Zona Victoria;;ZV 02 U;2;1;102;18,5;;;0;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zona Victoria;;ZV 03;2;1;85;18,5;;;0;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zona Victoria0;;ZV 04;2;1;108;18,5;;;0;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Torre Espacio Chapultepec;;Modelo A1;2;2;121,85;18,5;$2.812.000,00;$152.000,00;$23.077,55;;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Torre Espacio Chapultepec;;Modelo B;2;3;111,86;18,5;;;0;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Torre Espacio Chapultepec;;Modelo B;2;2;121,85;18,5;$2.959.000,00;$159.945,95;$24.283,96;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Torre Espacio Chapultepec;;Modelo B1;2;1;100,36;18,5;;;$0,00;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Torre Espacio Chapultepec;;Modelo C;3;1;164,8;18,5;;;$0,00;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Torre Espacio Chapultepec;;Modelo D;2;2;164,8;18,5;;;$0,00;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Torre Espacio Chapultepec;;Modelo D;2;2;103,69;18,5;;;$0,00;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Torre Espacio Chapultepec;;Modelo G;3;2;148,9;18,5;;;$0,00;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Torre Espacio Chapultepec;;Modelo H;3;2;151,5;18,5;;;$0,00;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Torre Espacio Chapultepec;;MODELO H2;3;2;148,9;18,5;;;$0,00;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Torre Espacio Chapultepec;;MODELO H2 2;3;2;150,26;18,5;;;$0,00;;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KYO HPDRM;KoiNox Developers;sue¤a. Modelo odyssea;2;1;66;18,5;$1.950.000,00;$105.405,41;$29.545,45;;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KYO HPDRM;KoiNox Developers;vive.modelo marathon;2;1;72;18,5;;;$0,00;;0;0;1;0;1;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
